,use,computer,students,equipment,Oncourse,need,problem,time,available,classrooms,desk,home,lab,semester,staff,open,people,difficult,needs,work,University,computers,slow,classes,service,helpful,faculty,training,campus,class,services,teaching,assistance,information
use,6.8076925,1.5472028,1.2377622,3.4038463,0.71659917,0.97252744,0.97252744,0.97252744,0.75641024,4.5384617,1.8566433,1.5128205,1.1346154,1.3615384,0.48626372,1.7019231,0.75641024,3.4038463,1.7019231,1.4587913,0.42548078,3.4038463,1.5128205,3.4038463,0.0,0.75641024,3.4038463,2.7230768,2.9175825,1.5128205,0.0,1.1346154,1.3615384,1.1346154
computer,1.5472028,8.045455,3.6570249,0.0,0.0,1.724026,2.2987013,1.724026,1.7878788,0.8939394,0.73140496,4.469697,4.693182,0.80454546,0.5746753,7.0397725,0.0,0.0,2.0113637,0.5746753,0.50284094,3.0170455,0.0,4.0227275,0.67045456,0.8939394,2.6818182,1.6090909,1.1493506,0.0,1.0056819,1.3409091,0.0,0.0
students,1.2377622,3.6570249,16.09091,0.0,0.84689,2.2987013,2.2987013,0.0,0.0,0.0,1.4628099,3.5757575,4.0227275,6.4363637,0.0,4.0227275,1.7878788,0.0,0.0,0.0,2.0113637,2.0113637,0.0,2.6818182,0.0,0.0,0.0,0.0,2.2987013,0.0,0.0,0.0,3.2181818,2.6818182
equipment,3.4038463,0.0,0.0,14.75,0.0,1.0535715,0.0,1.0535715,1.6388888,4.9166665,0.0,0.0,1.2291666,1.475,1.0535715,0.0,1.6388888,5.53125,3.6875,2.107143,0.0,0.0,3.2777777,2.4583333,0.0,0.0,2.4583333,2.95,0.0,0.0,0.0,4.9166665,0.0,0.0
Oncourse,0.71659917,0.0,0.84689,0.0,9.315789,0.66541356,0.66541356,0.66541356,0.0,0.0,0.84689,1.0350877,0.0,1.8631579,1.3308271,0.0,1.0350877,2.3289473,0.0,1.9962406,1.1644737,0.0,1.0350877,1.5526316,1.5526316,0.0,1.5526316,0.0,0.0,2.0701754,1.1644737,0.0,1.8631579,0.0
need,0.97252744,1.724026,2.2987013,1.0535715,0.66541356,12.642858,0.0,0.0,1.4047619,1.4047619,0.0,0.0,1.0535715,1.2642857,1.8061224,0.0,0.0,1.5803572,4.741071,0.9030612,0.0,1.5803572,1.4047619,0.0,1.0535715,0.0,0.0,2.5285714,0.0,1.4047619,1.5803572,2.107143,2.5285714,0.0
problem,0.97252744,2.2987013,2.2987013,0.0,0.66541356,0.0,12.642858,0.9030612,1.4047619,0.0,3.448052,2.8095238,2.107143,1.2642857,0.9030612,0.0,2.8095238,0.0,0.0,0.0,0.0,0.0,1.4047619,2.107143,1.0535715,0.0,0.0,0.0,3.6122448,0.0,0.0,0.0,2.5285714,0.0
time,0.97252744,1.724026,0.0,1.0535715,0.66541356,0.0,0.9030612,12.642858,2.8095238,1.4047619,1.1493506,1.4047619,0.0,0.0,0.9030612,1.5803572,1.4047619,0.0,0.0,0.0,0.0,3.1607144,1.4047619,4.214286,0.0,2.8095238,0.0,2.5285714,0.0,2.8095238,0.0,2.107143,2.5285714,0.0
available,0.75641024,1.7878788,0.0,1.6388888,0.0,1.4047619,1.4047619,2.8095238,19.666666,2.1851852,0.0,2.1851852,0.0,0.0,1.4047619,0.0,0.0,2.4583333,2.4583333,0.0,1.2291666,2.4583333,4.3703704,3.2777777,1.6388888,2.1851852,3.2777777,3.9333334,0.0,2.1851852,7.375,3.2777777,0.0,0.0
classrooms,4.5384617,0.8939394,0.0,4.9166665,0.0,1.4047619,0.0,1.4047619,2.1851852,19.666666,0.0,0.0,0.0,3.9333334,0.0,0.0,2.1851852,2.4583333,4.9166665,1.4047619,0.0,4.9166665,2.1851852,0.0,0.0,2.1851852,3.2777777,3.9333334,0.0,0.0,0.0,3.2777777,0.0,0.0
desk,1.8566433,0.73140496,1.4628099,0.0,0.84689,0.0,3.448052,1.1493506,0.0,0.0,16.09091,1.7878788,0.0,1.6090909,2.2987013,0.0,5.3636365,0.0,2.0113637,1.1493506,0.0,0.0,1.7878788,0.0,0.0,1.7878788,2.6818182,0.0,2.2987013,0.0,2.0113637,0.0,6.4363637,2.6818182
home,1.5128205,4.469697,3.5757575,0.0,1.0350877,0.0,2.8095238,1.4047619,2.1851852,0.0,1.7878788,19.666666,4.9166665,0.0,0.0,2.4583333,0.0,0.0,0.0,1.4047619,1.2291666,2.4583333,0.0,3.2777777,1.6388888,2.1851852,0.0,0.0,2.8095238,0.0,0.0,0.0,0.0,3.2777777
lab,1.1346154,4.693182,4.0227275,1.2291666,0.0,1.0535715,2.107143,0.0,0.0,0.0,0.0,4.9166665,14.75,0.0,0.0,3.6875,0.0,0.0,3.6875,0.0,0.921875,1.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semester,1.3615384,0.80454546,6.4363637,1.475,1.8631579,1.2642857,1.2642857,0.0,0.0,3.9333334,1.6090909,0.0,0.0,17.7,0.0,0.0,1.9666667,0.0,0.0,1.2642857,1.10625,0.0,0.0,0.0,1.475,0.0,2.95,0.0,0.0,3.9333334,0.0,0.0,3.54,2.95
staff,0.48626372,0.5746753,0.0,1.0535715,1.3308271,1.8061224,0.9030612,0.9030612,1.4047619,0.0,2.2987013,0.0,0.0,0.0,12.642858,0.0,2.8095238,1.5803572,0.0,0.0,0.0,0.0,0.0,0.0,3.1607144,2.8095238,0.0,2.5285714,0.0,0.0,3.1607144,2.107143,0.0,0.0
open,1.7019231,7.0397725,4.0227275,0.0,0.0,0.0,0.0,1.5803572,0.0,0.0,0.0,2.4583333,3.6875,0.0,0.0,22.125,0.0,0.0,0.0,1.5803572,2.765625,0.0,0.0,7.375,1.84375,0.0,0.0,0.0,3.1607144,0.0,0.0,0.0,0.0,0.0
people,0.75641024,0.0,1.7878788,1.6388888,1.0350877,0.0,2.8095238,1.4047619,0.0,2.1851852,5.3636365,0.0,0.0,1.9666667,2.8095238,0.0,19.666666,0.0,2.4583333,0.0,0.0,0.0,4.3703704,0.0,0.0,4.3703704,0.0,3.9333334,2.8095238,0.0,0.0,0.0,3.9333334,0.0
difficult,3.4038463,0.0,0.0,5.53125,2.3289473,1.5803572,0.0,0.0,2.4583333,2.4583333,0.0,0.0,0.0,0.0,1.5803572,0.0,0.0,22.125,2.765625,0.0,2.765625,0.0,2.4583333,0.0,0.0,0.0,0.0,4.425,0.0,2.4583333,0.0,3.6875,0.0,3.6875
needs,1.7019231,2.0113637,0.0,3.6875,0.0,4.741071,0.0,0.0,2.4583333,4.9166665,2.0113637,0.0,3.6875,0.0,0.0,0.0,2.4583333,2.765625,22.125,0.0,0.0,2.765625,2.4583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.375,0.0,0.0
work,1.4587913,0.5746753,0.0,2.107143,1.9962406,0.9030612,0.0,0.0,0.0,1.4047619,1.1493506,1.4047619,0.0,1.2642857,0.0,1.5803572,0.0,0.0,0.0,12.642858,0.0,0.0,0.0,2.107143,1.0535715,0.0,0.0,0.0,1.8061224,1.4047619,1.5803572,0.0,0.0,2.107143
University,0.42548078,0.50284094,2.0113637,0.0,1.1644737,0.0,0.0,0.0,1.2291666,0.0,0.0,1.2291666,0.921875,1.10625,0.0,2.765625,0.0,2.765625,0.0,0.0,11.0625,0.0,0.0,0.0,0.921875,0.0,1.84375,2.2125,0.0,1.2291666,1.3828125,0.0,0.0,3.6875
computers,3.4038463,3.0170455,2.0113637,0.0,0.0,1.5803572,0.0,3.1607144,2.4583333,4.9166665,0.0,2.4583333,1.84375,0.0,0.0,0.0,0.0,0.0,2.765625,0.0,0.0,22.125,2.4583333,0.0,0.0,0.0,3.6875,0.0,0.0,2.4583333,0.0,0.0,0.0,0.0
slow,1.5128205,0.0,0.0,3.2777777,1.0350877,1.4047619,1.4047619,1.4047619,4.3703704,2.1851852,1.7878788,0.0,0.0,0.0,0.0,0.0,4.3703704,2.4583333,2.4583333,0.0,0.0,2.4583333,19.666666,0.0,3.2777777,0.0,0.0,3.9333334,0.0,0.0,0.0,0.0,0.0,0.0
classes,3.4038463,4.0227275,2.6818182,2.4583333,1.5526316,0.0,2.107143,4.214286,3.2777777,0.0,0.0,3.2777777,0.0,0.0,0.0,7.375,0.0,0.0,0.0,2.107143,0.0,0.0,0.0,29.5,0.0,3.2777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service,0.0,0.67045456,0.0,0.0,1.5526316,1.0535715,1.0535715,0.0,1.6388888,0.0,0.0,1.6388888,0.0,1.475,3.1607144,1.84375,0.0,0.0,0.0,1.0535715,0.921875,0.0,3.2777777,0.0,14.75,1.6388888,0.0,0.0,0.0,0.0,0.0,2.4583333,0.0,0.0
helpful,0.75641024,0.8939394,0.0,0.0,0.0,0.0,0.0,2.8095238,2.1851852,2.1851852,1.7878788,2.1851852,0.0,0.0,2.8095238,0.0,4.3703704,0.0,0.0,0.0,0.0,0.0,0.0,3.2777777,1.6388888,19.666666,0.0,0.0,2.8095238,0.0,2.4583333,0.0,3.9333334,0.0
faculty,3.4038463,2.6818182,0.0,2.4583333,1.5526316,0.0,0.0,0.0,3.2777777,3.2777777,2.6818182,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,1.84375,3.6875,0.0,0.0,0.0,0.0,29.5,5.9,0.0,0.0,3.6875,0.0,5.9,0.0
training,2.7230768,1.6090909,0.0,2.95,0.0,2.5285714,0.0,2.5285714,3.9333334,3.9333334,0.0,0.0,0.0,0.0,2.5285714,0.0,3.9333334,4.425,0.0,0.0,2.2125,0.0,3.9333334,0.0,0.0,0.0,5.9,35.4,0.0,0.0,4.425,5.9,0.0,0.0
campus,2.9175825,1.1493506,2.2987013,0.0,0.0,0.0,3.6122448,0.0,0.0,0.0,2.2987013,2.8095238,0.0,0.0,0.0,3.1607144,2.8095238,0.0,0.0,1.8061224,0.0,0.0,0.0,0.0,0.0,2.8095238,0.0,0.0,25.285715,0.0,0.0,0.0,5.0571427,4.214286
class,1.5128205,0.0,0.0,0.0,2.0701754,1.4047619,0.0,2.8095238,2.1851852,0.0,0.0,0.0,0.0,3.9333334,0.0,0.0,0.0,2.4583333,0.0,1.4047619,1.2291666,2.4583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.666666,2.4583333,0.0,0.0,0.0
services,0.0,1.0056819,0.0,0.0,1.1644737,1.5803572,0.0,0.0,7.375,0.0,2.0113637,0.0,0.0,0.0,3.1607144,0.0,0.0,0.0,0.0,1.5803572,1.3828125,0.0,0.0,0.0,0.0,2.4583333,3.6875,4.425,0.0,2.4583333,22.125,0.0,0.0,0.0
