Concepts,use,computer,students,equipment,Oncourse,need,problem,time,available,classrooms,desk,home,lab,semester,staff,open,people,difficult,needs,work,University,computers,slow,classes,service,helpful,faculty,training,campus,class,services,teaching,assistance,information
use,6.8076925,0.0,0.0,3.4038463,0.0,0.0,0.0,0.0,0.0,4.5384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4038463,0.0,0.0,0.0,3.4038463,0.0,3.4038463,0.0,0.0,3.4038463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computer,0.0,8.045455,3.6570249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.469697,4.693182,0.0,0.0,7.0397725,0.0,0.0,0.0,0.0,0.0,3.0170455,0.0,4.0227275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
students,0.0,3.6570249,16.09091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5757575,4.0227275,6.4363637,0.0,4.0227275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2181818,0.0
equipment,3.4038463,0.0,0.0,14.75,0.0,0.0,0.0,0.0,0.0,4.9166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53125,3.6875,0.0,0.0,0.0,3.2777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9166665,0.0,0.0
Oncourse,0.0,0.0,0.0,0.0,9.315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
need,0.0,0.0,0.0,0.0,0.0,12.642858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0,0.0,0.0,0.0,0.0,0.0,12.642858,0.0,0.0,0.0,3.448052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6122448,0.0,0.0,0.0,0.0,0.0
time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.642858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1607144,0.0,4.214286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3703704,3.2777777,0.0,0.0,3.2777777,3.9333334,0.0,0.0,7.375,3.2777777,0.0,0.0
classrooms,4.5384617,0.0,0.0,4.9166665,0.0,0.0,0.0,0.0,0.0,19.666666,0.0,0.0,0.0,3.9333334,0.0,0.0,0.0,0.0,4.9166665,0.0,0.0,4.9166665,0.0,0.0,0.0,0.0,3.2777777,3.9333334,0.0,0.0,0.0,3.2777777,0.0,0.0
